"distrito","cod_actividad","categoria","subcategoria","actividad","estado"
"CC 1",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Permitido"
"CC 3",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Remitirse a Ficha de Distrito"
"CC 5",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Condicionado"
"CC6",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Permitido"
"AC 2",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Permitido"
"AC 3",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Permitido"
"AC 4",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento",NULL
"EE",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento",NULL
"PI",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Remitirse a Ficha de Distrito"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Remitirse a Ficha de Distrito"
"FU",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento","Remitirse a Ficha de Distrito"
"NA",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento",NULL
"IUS",NULL,"Equipamientos y Servicios","Servicios del Automotor","Playas de Estacionamiento",NULL
"RM 1",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Permitido"
"RM 2",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Permitido"
"CC 3",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Permitido"
"EE",NULL,"Equipamientos y Servicios","Depósitos","Depósito 4",NULL
"CC 5",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Condicionado"
"CC6",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio",NULL
"EE",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio",NULL
"PI",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Permitido"
"DSA AN2",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Permitido"
"RN",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio",NULL
"IUS",NULL,"Equipamientos y Servicios","Servicios del Automotor","Estaciones de Servicio",NULL
"RM 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"RM 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"RM 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"RM 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"CC 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"CC 5",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"CC6",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural",NULL
"EE",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural",NULL
"PI",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Permitido"
"RN",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural","Permitido"
"NA",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural",NULL
"IUS",NULL,"Equipamientos y Servicios","Turismo sustentable","Ecoturismo y turismo rural",NULL
"RM 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"RM 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"RM 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"RM 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"CC 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"CC 5",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"CC6",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos",NULL
"EE",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos",NULL
"PI",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Remitirse a Ficha de Distrito"
"FU",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos","Remitirse a Ficha de Distrito"
"NA",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos",NULL
"IUS",NULL,"Equipamientos y Servicios","Turismo sustentable","Zona de Campamentos",NULL
"RM 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"RM 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"RM 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"RM 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"CC 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"CC 5",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"CC6",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados",NULL
"EE",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados",NULL
"PI",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Permitido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Permitido"
"PN",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Permitido"
"FU",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados","Permitido"
"NA",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados",NULL
"IUS",NULL,"Equipamientos y Servicios","Turismo sustentable","Paseos guiados",NULL
"RM 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"RM 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"RM 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"RM 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"CC 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"CC 5",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"CC6",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico",NULL
"EE",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico",NULL
"PI",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Permitido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronómico","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronomico","Permitido"
"DSA AN1",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronomico","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronomico","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronomico","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronomico","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronomico","Permitido"
"PN",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronomico","Permitido"
"FU",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronomico","Permitido"
"NA",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronomico",NULL
"IUS",NULL,"Equipamientos y Servicios","Turismo sustentable","Turismo astronomico",NULL
"RM 1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"RM 2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"RM 5",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Condicionado"
"CC 1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"CC 3",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"CC6",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"AC 2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Permitido"
"AC 3",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Condicionado"
"AC 4",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises",NULL
"EE",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises",NULL
"PI",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises",NULL
"IUS",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Remises",NULL
"RM 1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"RM 2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"RM 5",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"CC 1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"CC 2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"CC 3",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"CC 5",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"CC6",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Permitido"
"AC 1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Pequeña y Mediana Escala - 300 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Condicionado"
"RM 2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Permitido"
"RM 3",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Permitido"
"RM 4",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"RM 5",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"CC 1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"CC 2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"CC 3",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Permitido"
"CC 4",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Remitirse a Ficha de Distrito"
"CC 5",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"CC6",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"AC 1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"AC 2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"AC 3",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"AC 4",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"PIU",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2",NULL
"EE",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2",NULL
"PI",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2",NULL
"PARQUE ACTIVO",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"PARQUE PASIVO",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"DSA SL",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"DSA AN1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"DSA AN2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"DSA Sur",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"DSA Oeste",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"RN",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"PN",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"FU",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2","Prohibido"
"NA",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2",NULL
"IUS",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Gran Escala > 300 m2",NULL
"RM 1",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Con Actividades Incómodas","Prohibido"
"RM 2",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Con Actividades Incómodas","Condicionado"
"RM 3",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Con Actividades Incómodas","Condicionado"
"RM 4",NULL,"Equipamientos y Servicios","Transporte y Comunicaciones","Con Actividades Incómodas","Prohibido"
